KPD_SIFRA	NAZIV	SEKTOR	RAZINA	FINALNA
02.2	Grubo obrađeno drvo	A	2	NE
02.3	Samonikli plodovi i proizvodi, osim drva	A	2	NE
02.4	Pomoćne usluge u šumarstvu	A	2	NE
03.0	Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu	A	2	NE
05.1	Kameni ugljen i ostali ugljen	B	2	NE
05.2	Lignit	B	2	NE
06.1	Sirova nafta	B	2	NE
06.2	Prirodni plin, ukapljeni ili u plinovitom stanju	B	2	NE
07.1	Željezne rude	B	2	NE
07.2	Rude obojenih metala	B	2	NE
08.1	Kamen, pijesak i glina	B	2	NE
08.9	Proizvodi rudarstva i vađenja, d. n.	B	2	NE
09.1	Pomoćne usluge za vađenje nafte i prirodnog plina	B	2	NE
09.9	Pomoćne usluge za ostalo rudarstvo i vađenje	B	2	NE
10.1	Konzervirano meso i mesni proizvodi	C	2	NE
10.2	Prerađene i konzervirane ribe, rakovi i mekušci	C	2	NE
10.3	Prerađeno i konzervirano voće i povrće	C	2	NE
10.4	Biljna i životinjska ulja i masti	C	2	NE
10.5	Mliječni proizvodi i jestivi ledeni proizvodi	C	2	NE
10.6	Mlinski proizvodi, škrob i škrobni proizvodi	C	2	NE
10.7	Pekarski proizvodi i tjestenine	C	2	NE
10.8	Ostali prehrambeni proizvodi	C	2	NE
10.9	Pripremljena hrana za životinje	C	2	NE
11.0	Piće	C	2	NE
12.0	Duhanski proizvodi	C	2	NE
13.1	Tekstilna pređa i konac	C	2	NE
13.2	Tkanine	C	2	NE
13.3	Usluge dovršavanja tekstila	C	2	NE
13.9	Ostali tekstil	C	2	NE
14.1	Pletena i kukičana odjeća	C	2	NE
14.2	Ostala odjeća i pribor za odjeću	C	2	NE
15.1	Štavljena, obrađena, bojena koža i krzno; putne i ručne torbe, sedlarski i remenarski proizvodi	C	2	NE
15.2	Obuća	C	2	NE
16.1	Drvo, piljeno i blanjano; usluge obrade i dorade drva	C	2	NE
16.2	Proizvodi od drva, pluta, slame i pletarskih materijala	C	2	NE
17.1	Celuloza, papir i karton	C	2	NE
17.2	Proizvodi od papira i kartona	C	2	NE
18.1	Usluge tiskanja i usluge povezane s tiskanjem	C	2	NE
18.2	Usluge umnožavanja snimljenih zapisa	C	2	NE
19.1	Proizvodi koksnih peći	C	2	NE
19.2	Rafinirani naftni proizvodi i proizvodi od fosilnih goriva	C	2	NE
20.1	Osnovne kemikalije, gnojiva i dušični spojevi, plastika i sintetički kaučuk u primarnim oblicima	C	2	NE
20.2	Pesticidi, dezinficijensi i drugi agrokemijski proizvodi	C	2	NE
20.3	Boje, lakovi i slični premazi, grafičke boje i kitovi	C	2	NE
20.4	Sapuni i deterdženti, sredstva za čišćenje i poliranje, parfemi i toaletno-kozmetički preparati	C	2	NE
20.5	Ostali kemijski proizvodi	C	2	NE
20.6	Umjetna vlakna	C	2	NE
21.1	Osnovni farmaceutski proizvodi	C	2	NE
21.2	Farmaceutski pripravci	C	2	NE
22.1	Proizvodi od gume	C	2	NE
22.2	Proizvodi od plastike	C	2	NE
23.1	Staklo i proizvodi od stakla	C	2	NE
23.2	Vatrostalni proizvodi	C	2	NE
23.3	Proizvodi od gline za građevinarstvo	C	2	NE
23.4	Ostali proizvodi od porculana i keramike	C	2	NE
23.5	Cement, vapno i gips	C	2	NE
23.6	Proizvodi od betona, cementa i gipsa	C	2	NE
23.7	Rezani, oblikovani i obrađeni kamen	C	2	NE
23.9	Brusni i nemetalni mineralni proizvodi, d. n.	C	2	NE
24.1	Sirovo željezo, čelik i ferolegure	C	2	NE
24.2	Cijevi, šuplji profili i pripadajući pribor, od željeza ili čelika	C	2	NE
24.3	Ostali proizvodi primarne prerade željeza ili čelika	C	2	NE
24.4	Plemeniti i ostali obojeni metali	C	2	NE
24.5	Usluge lijevanja metala	C	2	NE
25.1	Metalne konstrukcije	C	2	NE
25.2	Cisterne, rezervoari i slične posude od metala	C	2	NE
25.3	Oružje i streljivo	C	2	NE
25.4	Usluge kovanja i oblikovanja metala; metalurgija praha	C	2	NE
25.5	Usluge obrade, prevlačenja i strojne obrade metala	C	2	NE
25.6	Pribor za jelo i sječiva, alati i opća željezna roba	C	2	NE
25.9	Ostali gotovi proizvodi od metala	C	2	NE
26.1	Elektroničke komponente i ploče	C	2	NE
26.2	Računala i periferna oprema	C	2	NE
26.3	Komunikacijska oprema	C	2	NE
26.4	Elektronički uređaji za široku potrošnju	C	2	NE
26.5	Instrumenti za mjerenje i ispitivanje i satovi	C	2	NE
26.6	Oprema za zračenje, elektromedicinska i elektroterapeutska oprema	C	2	NE
26.7	Optički instrumenti, magnetski i optički mediji te fotografska oprema	C	2	NE
27.1	Elektromotori, generatori i transformatori te uređaji za distribuciju i kontrolu električne energije	C	2	NE
27.2	Baterije i akumulatori	C	2	NE
27.3	Žice i elektroinstalacijski materijali	C	2	NE
27.4	Rasvjetna oprema	C	2	NE
27.5	Aparati za kućanstvo	C	2	NE
27.9	Ostala električna oprema	C	2	NE
28.1	Strojevi za opće namjene	C	2	NE
28.2	Ostali strojevi za opće namjene	C	2	NE
28.3	Strojevi za poljoprivredu i šumarstvo	C	2	NE
28.4	Strojevi za oblikovanje metala i alatni strojevi	C	2	NE
28.9	Ostali strojevi za posebne namjene	C	2	NE
29.1	Motorna vozila	C	2	NE
29.2	Karoserije za motorna vozila; prikolice i poluprikolice	C	2	NE
29.3	Dijelovi i pribor za motorna vozila	C	2	NE
30.1	Brodovi i čamci	C	2	NE
30.2	Željezničke lokomotive i tračnička vozila	C	2	NE
30.3	Zrakoplovi i svemirske letjelice te srodni strojevi i oprema	C	2	NE
30.4	Vojna borbena vozila	C	2	NE
30.9	Prijevozna sredstva, d. n.	C	2	NE
31.0	Namještaj	C	2	NE
32.1	Nakit, imitacija nakita i srodni proizvodi	C	2	NE
32.2	Glazbeni instrumenti	C	2	NE
32.3	Sportska oprema	C	2	NE
32.4	Igre i igračke	C	2	NE
32.5	Medicinski i stomatološki instrumenti i pribor	C	2	NE
32.9	Proizvedena roba, d. n.	C	2	NE
33.1	Usluge popravka i održavanja proizvoda od metala, strojeva i opreme	C	2	NE
33.2	Usluge instaliranja industrijskih strojeva i opreme	C	2	NE
35.1	Usluge proizvodnje, prijenosa i distribucije električne energije	D	2	NE
35.2	Proizvedeni plin; usluge distribucije plinovitih goriva distribucijskom mrežom	D	2	NE
35.3	Usluge opskrbe parom i klimatizacije	D	2	NE
35.4	Usluge brokera i agenata za električnu energiju i plin	D	2	NE
36.0	Prirodna voda; usluge pročišćavanja vode i opskrbe vodom	E	2	NE
37.0	Usluge uklanjanja otpadnih voda; kanalizacijski mulj	E	2	NE
38.1	Usluge skupljanja otpada	E	2	NE
38.2	Usluge oporabe otpada	E	2	NE
38.3	Usluge zbrinjavanja otpada bez oporabe	E	2	NE
39.0	Usluge sanacije okoliša i ostale usluge gospodarenja otpadom	E	2	NE
41.0	Stambene i nestambene zgrade, građevinski radovi na izgradnji stambenih i nestambenih zgrada	F	2	NE
42.1	Ceste i željezničke pruge; građevinski radovi na izgradnji cesta i željezničkih pruga	F	2	NE
42.2	Cjevovodi, elektroenergetski i telekomunikacijski vodovi te građevinski radovi na izgradnji cjevovoda, elektroenergetskih i telekomunikacijskih vodova	F	2	NE
42.9	Ostale građevine niskogradnje i građevinski radovi na izgradnji ostalih građevina niskogradnje	F	2	NE
43.1	Radovi na uklanjanju građevina i pripremni radovi na gradilištu	F	2	NE
43.2	Elektroinstalacijski, vodoinstalacijski i ostali građevinski instalacijski radovi	F	2	NE
43.3	Završni građevinski radovi	F	2	NE
43.4	Specijalizirani građevinski radovi u gradnji zgrada	F	2	NE
43.5	Specijalizirani građevinski radovi u niskogradnji	F	2	NE
43.6	Usluge posredovanja u pružanju specijaliziranih građevinskih usluga	F	2	NE
43.9	Ostali specijalizirani građevinski radovi	F	2	NE
46.1	Usluge trgovine na veliko uz naplatu ili na osnovi ugovora	G	2	NE
46.2	Usluge trgovine na veliko poljoprivrednim sirovinama i živim životinjama	G	2	NE
46.3	Usluge trgovine na veliko hranom, pićima i duhanom	G	2	NE
46.4	Usluge trgovine na veliko proizvodima za kućanstvo	G	2	NE
46.5	Usluge trgovine na veliko informacijsko-komunikacijskom opremom	G	2	NE
46.6	Usluge trgovine na veliko ostalim strojevima, opremom i priborom	G	2	NE
46.7	Usluge trgovine na veliko motornim vozilima, motociklima te njihovim dijelovima i priborom	G	2	NE
46.8	Ostale usluge specijalizirane trgovine na veliko	G	2	NE
46.9	Nespecijalizirane usluge trgovine na veliko	G	2	NE
47.2	Usluge trgovine na malo hranom, pićima i duhanskim proizvodima	G	2	NE
47.3	Usluge trgovine na malo motornim gorivima i mazivima	G	2	NE
47.4	Usluge trgovine na malo informacijsko-komunikacijskom opremom	G	2	NE
47.5	Usluge trgovine na malo ostalom opremom za kućanstvo	G	2	NE
47.6	Usluge trgovine na malo proizvodima za kulturu i rekreaciju	G	2	NE
47.7	Usluge trgovine na malo ostalom robom, osim motornim vozilima i motociklima	G	2	NE
47.8	Usluge trgovine na malo motornim vozilima, motociklima te njihovim dijelovima i priborom	G	2	NE
47.9	Usluge posredovanja u uslugama trgovine na malo	G	2	NE
49.1	Usluge željezničkog prijevoza putnika	H	2	NE
49.2	Usluge željezničkog prijevoza robe	H	2	NE
49.3	Usluge ostalog kopnenog prijevoza putnika	H	2	NE
49.4	Usluge cestovnog prijevoza robe i usluge preseljenja	H	2	NE
49.5	Usluge cjevovodnog transporta	H	2	NE
50.1	Usluge pomorskog i obalnog prijevoza putnika	H	2	NE
50.2	Usluge pomorskog i obalnog prijevoza robe	H	2	NE
50.3	Usluge prijevoza putnika unutarnjim vodnim putovima	H	2	NE
50.4	Usluge prijevoza robe unutarnjim vodnim putovima	H	2	NE
51.1	Usluge zračnog prijevoza putnika	H	2	NE
51.2	Usluge zračnog prijevoza robe i svemirskog prijevoza	H	2	NE
52.1	Usluge skladištenja	H	2	NE
52.2	Prateće usluge u prijevozu	H	2	NE
52.3	Usluge posredovanja u prijevozu	H	2	NE
53.1	Univerzalne poštanske i kurirske usluge	H	2	NE
53.2	Ostale poštanske i kurirske usluge	H	2	NE
53.3	Usluge posredovanja u pružanju poštanskih i kurirskih usluga	H	2	NE
55.1	Usluge hotelskog i sličnog smještaja	I	2	NE
55.2	Usluge odmarališta i sličnih objekata za kraći odmor	I	2	NE
55.3	Usluge kampova i prostora za kampiranje	I	2	NE
55.4	Usluge posredovanja u pružanju smještaja	I	2	NE
55.9	Ostale usluge smještaja	I	2	NE
56.1	Usluge restorana i pokretne usluge usluživanja hrane	I	2	NE
56.2	Usluge keteringa za razna događanja, usluge keteringa na osnovi ugovora i ostale usluge pripreme i usluživanja hrane	I	2	NE
56.3	Usluge pripreme i usluživanja pića	I	2	NE
56.4	Usluge posredovanja u pripremi i usluživanju hrane i pića	I	2	NE
58.1	Usluge izdavanja knjiga, novina i ostale izdavačke usluge, osim izdavanja softvera	J	2	NE
58.2	Usluge izdavanja softvera	J	2	NE
59.1	Usluge proizvodnje filmova, videofilmova i televizijskog programa	J	2	NE
59.2	Usluge snimanja zvučnih zapisa i izdavanja glazbenih zapisa	J	2	NE
60.1	Usluge emitiranja radijskog programa i distribucije audio sadržaja	J	2	NE
60.2	Usluge emitiranja televizijskog programa i video distribucija	J	2	NE
60.3	Usluge novinskih agencija i ostale usluge distribucije sadržaja	J	2	NE
61.1	Žičane, bežične i satelitske telekomunikacijske usluge	J	2	NE
61.2	Usluge preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim uslugama	J	2	NE
61.9	Ostale telekomunikacijske usluge	J	2	NE
62.1	Usluge računalnog programiranja	J	2	NE
62.2	Računalno savjetovanje i usluge upravljanja računalnom opremom	J	2	NE
62.9	Ostale usluge u vezi s informacijskom tehnologijom i računalima	J	2	NE
63.1	Računalna infrastruktura, obrada podataka, usluge poslužitelja i povezane usluge	J	2	NE
63.9	Usluge internetskih portala i druge informacijske usluge	J	2	NE
64.1	Usluge novčarskog posredovanja	K	2	NE
64.2	Usluge holding-društava i kanala financiranja	K	2	NE
64.3	Usluge uzajamnih fondova (trustova), ostalih fondova i sličnih financijskih subjekata	K	2	NE
64.9	Ostale financijske usluge, osim osiguranja i mirovinskih fondova	K	2	NE
65.1	Usluge osiguranja	K	2	NE
65.2	Usluge reosiguranja	K	2	NE
65.3	Usluge mirovinskih fondova	K	2	NE
66.1	Pomoćne usluge za financijske usluge, osim osiguranja i mirovinskih fondova	K	2	NE
66.2	Pomoćne usluge u osiguranju i mirovinskim fondovima	K	2	NE
66.3	Usluge upravljanja fondovima	K	2	NE
68.1	Usluge kupnje i prodaje vlastitih nekretnina i organizacija izvedbe projekata za zgrade	L	2	NE
68.2	Usluge iznajmljivanja i upravljanja vlastitim nekretninama ili nekretninama uzetim u zakup (leasing)	L	2	NE
68.3	Usluge povezane s poslovanjem nekretninama uz naplatu ili na osnovi ugovora	L	2	NE
69.1	Pravne usluge	M	2	NE
69.2	Računovodstvene, knjigovodstvene i revizijske usluge; usluge poreznog savjetovanja	M	2	NE
70.1	Upravljačke usluge	M	2	NE
70.2	Usluge savjetovanja u vezi s poslovanjem i ostalim upravljanjem	M	2	NE
71.1	Arhitektonske i inženjerske usluge te s njima povezane usluge tehničkog savjetovanja	M	2	NE
71.2	Usluge tehničkog ispitivanja i analize	M	2	NE
72.1	Usluge istraživanja i razvoja u prirodnim, tehničkim i tehnološkim znanostima	M	2	NE
72.2	Usluge istraživanja i razvoja u društvenim i humanističkim znanostima	M	2	NE
72.3	Usluge interdisciplinarnog istraživanja i razvoja	M	2	NE
73.1	Usluge promidžbe	M	2	NE
73.2	Usluge istraživanja tržišta i ispitivanja javnog mnijenja	M	2	NE
73.3	Usluge odnosa s javnošću i priopćavanja	M	2	NE
74.1	Specijalizirane dizajnerske usluge	M	2	NE
74.2	Fotografske usluge	M	2	NE
74.3	Usluge pismenog i usmenog prevođenja	M	2	NE
74.9	Ostale stručne, znanstvene i tehničke usluge, d. n.	M	2	NE
75.0	Veterinarske usluge	M	2	NE
77.1	Usluge iznajmljivanja i davanja u zakup (leasing) motornih vozila	N	2	NE
77.2	Usluge iznajmljivanja i davanja u zakup (leasing) predmeta za osobnu uporabu i kućanstvo	N	2	NE
77.3	Usluge iznajmljivanja i davanja u zakup (leaisng) ostalih strojeva, opreme te materijalnih dobara	N	2	NE
77.4	Usluge davanja u zakup (leasing) prava na uporabu intelektualnog vlasništva i sličnih proizvoda, osim radova zaštićenih autorskim pravom	N	2	NE
77.5	Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) materijalnih dobara i nefinancijske nematerijalne imovine	N	2	NE
78.1	Usluge agencija za zapošljavanje	N	2	NE
78.2	Usluge agencija za privremeno zapošljavanje i ostalo ustupanje ljudskih resursa	N	2	NE
79.1	Usluge putničkih agencija i organizatora putovanja (turoperatora)	N	2	NE
79.9	Ostale rezervacijske usluge i usluge povezane s njima	N	2	NE
80.0	Istražne i zaštitne usluge	N	2	NE
81.1	Usluge održavanja zgrada	N	2	NE
81.2	Usluge čišćenja	N	2	NE
81.3	Usluge uređenja i održavanja krajolika	N	2	NE
82.1	Uredske administrativne i pomoćne usluge	N	2	NE
82.2	Usluge pozivnih centara	N	2	NE
82.3	Usluge organizacije sastanaka i poslovnih sajmova	N	2	NE
82.4	Usluge posredovanja za poslovne pomoćne usluge, d. n.	N	2	NE
82.9	Poslovne pomoćne usluge, d. n.	N	2	NE
84.1	Usluge državne uprave, ekonomska i socijalna politika te politika okoliša zajednice	O	2	NE
84.2	Usluge u zajednici	O	2	NE
84.3	Usluge obveznog socijalnog osiguranja	O	2	NE
85.1	Usluge predškolskog obrazovanja	P	2	NE
85.2	Usluge osnovnoškolskog obrazovanja	P	2	NE
85.3	Usluge srednjoškolskog obrazovanja i obrazovanja nakon srednjoškolskog koje nije visoko	P	2	NE
85.4	Usluge visokog obrazovanja	P	2	NE
85.5	Usluge ostalog obrazovanja i poučavanja	P	2	NE
85.6	Pomoćne usluge u obrazovanju	P	2	NE
86.1	Usluge bolnica	Q	2	NE
86.2	Usluge medicine i dentalne medicine	Q	2	NE
86.9	Ostale usluge zdravstvene zaštite	Q	2	NE
87.1	Usluge ustanova za njegu sa smještajem	Q	2	NE
87.2	Usluge socijalne skrbi sa smještajem za osobe koje boluju od nedijagnosticirane ili dijagnosticirane mentalne bolesti ili ovisnosti o opojnim sredstvima	Q	2	NE
87.3	Usluge socijalne skrbi sa smještajem za starije osobe ili osobe s fizičkim invaliditetom	Q	2	NE
87.9	Ostale usluge socijalne skrbi sa smještajem	Q	2	NE
88.1	Usluge socijalne skrbi bez smještaja za starije osobe ili osobe s invaliditetom	Q	2	NE
88.9	Ostale usluge socijalne skrbi bez smještaja	Q	2	NE
90.1	Usluge umjetničkog stvaralaštva	R	2	NE
90.2	Usluge izvedbenih umjetnosti	R	2	NE
90.3	Pomoćne usluge u umjetničkom stvaralaštvu i izvedbenim umjetnostima	R	2	NE
91.1	Usluge knjižnica i arhiva	R	2	NE
91.2	Usluge muzeja, zbirki, povijesnih lokaliteta i spomenika kulture	R	2	NE
91.3	Konzervatorske, restauratorske i ostale pomoćne usluge u području kulturne baštine	R	2	NE
91.4	Usluge botaničkih i zooloških vrtova i prirodnih rezervata	R	2	NE
92.0	Usluge kockanja i klađenja	R	2	NE
93.1	Sportske usluge	R	2	NE
93.2	Zabavne i rekreacijske usluge	R	2	NE
94.1	Usluge poslovnih organizacija, organizacija poslodavaca i strukovnih organizacija	S	2	NE
94.2	Usluge sindikata	S	2	NE
94.9	Usluge ostalih članskih organizacija	S	2	NE
95.1	Usluge popravka i održavanja računala i komunikacijske opreme	S	2	NE
95.2	Usluge popravka i održavanja predmeta za osobnu uporabu i kućanstvo	S	2	NE
95.3	Usluge popravka i održavanja motornih vozila i motocikala	S	2	NE
95.4	Usluge posredovanja u popravku i održavanju računala, predmeta za osobnu uporabu i kućanstvo te motornih vozila i motocikala	S	2	NE
96.1	Usluge pranja i čišćenja tekstilnih i krznenih proizvoda	S	2	NE
96.2	Usluge frizerskih salona, salona za uljepšavanje, dnevnih spa tretmana i slične usluge	S	2	NE
96.3	Pogrebničke i srodne usluge	S	2	NE
96.4	Usluge posredovanja u osobnim uslugama	S	2	NE
96.9	Ostale osobne usluge	S	2	NE
97.0	Usluge kućanstava koja zapošljavaju poslugu	T	2	NE
98.1	Proizvodi privatnih kućanstava koja proizvode različitu robu za vlastite potrebe	T	2	NE
98.2	Usluge privatnih kućanstava koja obavljaju različite usluge za vlastite potrebe	T	2	NE
99.0	Usluge izvanteritorijalnih organizacija i tijela	U	2	NE
01.11	Žitarice, osim riže, mahunarke i uljano sjemenje	A	3	NE
01.12	Riža, neočišćena	A	3	NE
01.13	Povrće i dinje, korjenasto i gomoljasto povrće	A	3	NE
01.14	Šećerna trska	A	3	NE
01.15	Neprerađeni duhan	A	3	NE
01.16	Predivo bilje	A	3	NE
01.19	Ostali jednogodišnji usjevi	A	3	NE
01.21	Svježe grožđe	A	3	NE
01.22	Svježe tropsko i suptropsko voće	A	3	NE
01.23	Svježi agrumi	A	3	NE
01.24	Svježe jezgričasto i svježe koštuničavo voće	A	3	NE
01.25	Bobičasto, orašasto i ostalo voće	A	3	NE
01.26	Uljani plodovi	A	3	NE
01.27	Usjevi za pripremanje napitaka	A	3	NE
01.28	Začinsko, aromatsko, ljekovito bilje i bilje za uporabu u farmaciji	A	3	NE
01.29	Ostali višegodišnji usjevi	A	3	NE
01.30	Sadni materijal: živo bilje, lukovice, gomolji i korijenje, reznice i cijepovi; micelij gljiva	A	3	NE
01.41	Mliječna goveda, živa; sirovo kravlje mlijeko	A	3	NE
01.42	Ostala goveda i bivoli, živi, i njihova sperma	A	3	NE
01.43	Konji i drugi kopitari, živi	A	3	NE
01.44	Deve i ljame, žive	A	3	NE
01.45	Ovce i koze, žive; sirovo ovčje i kozje mlijeko i šišana ovčja i kozja vuna	A	3	NE
01.46	Svinje, žive	A	3	NE
01.47	Perad, živa, i jaja	A	3	NE
01.48	Ostale životinje i proizvodi životinjskog podrijetla	A	3	NE
01.61	Pomoćne usluge za uzgoj usjeva	A	3	NE
01.62	Pomoćne usluge za uzgoj životinja; usluge pripreme stajskoga gnoja i gnojnica za proizvodnju energije	A	3	NE
01.63	Usluge nakon žetve usjeva i dorada sjemena za sjemenski materijal; usluge pripreme silažnog bilja za proizvodnju energije	A	3	NE
01.70	Lov, stupičarenje i usluge povezane s njima	A	3	NE
02.10	Usluge uzgoja i rasadnika šumskog drveća	A	3	NE
02.20	Grubo obrađeno drvo	A	3	NE
02.30	Samonikli plodovi i proizvodi, osim drva	A	3	NE
02.40	Pomoćne usluge u šumarstvu	A	3	NE
03.00	Ribe i ostali proizvodi ribarstva; proizvodi akvakulture; pomoćne usluge u ribarstvu	A	3	NE
05.10	Kameni ugljen i ostali ugljen	B	3	NE
05.20	Lignit	B	3	NE
06.10	Sirova nafta	B	3	NE
06.20	Prirodni plin, ukapljeni ili u plinovitom stanju	B	3	NE
07.10	Željezne rude	B	3	NE
07.21	Uranove i torijeve rude	B	3	NE
07.29	Ostale rude obojenih metala i njihovi koncentrati	B	3	NE
08.11	Ukrasni kamen, vapnenac, gips, škriljevac i drugi kamen	B	3	NE
08.12	Šljunak, pijesak, glina i kaolin	B	3	NE
08.91	Minerali za kemikalije i gnojiva	B	3	NE
08.92	Treset	B	3	NE
08.93	Sol i čisti natrijev klorid; morska voda	B	3	NE
08.99	Ostali proizvodi rudarstva i vađenja, d. n.	B	3	NE
09.10	Pomoćne usluge za vađenje nafte i prirodnog plina	B	3	NE
09.90	Pomoćne usluge za ostalo rudarstvo i vađenje	B	3	NE
